Index,Article_Sentiment,Num_Sentences
193,0.53271484375,3
194,0.55615234375,3
195,0.5851236979166666,3
197,0.77783203125,4
200,0.37216796875,5
201,0.4640299479166667,3
202,0.2374267578125,4
203,0.7607421875,5
204,0.3958740234375,4
205,0.5265625,5
206,0.687890625,5
207,0.6774553571428571,7
209,0.62158203125,4
216,0.0,3
217,0.18076171875,5
218,0.3076171875,6
219,0.369384765625,4
220,0.16975911458333334,3
222,0.6734619140625,4
223,-0.067626953125,6
224,0.62646484375,3
225,0.7572265625,5
226,0.253173828125,4
227,0.9501953125,5
228,-0.1259765625,5
229,0.94541015625,5
230,0.95009765625,5
231,0.47216796875,6
232,0.822265625,6
234,-0.197265625,5
235,0.9373046875,5
236,0.15185546875,6
237,0.52646484375,5
238,0.16780598958333334,6
239,-0.2870396205357143,7
240,0.7923990885416666,6
241,-0.123779296875,6
243,0.3841959635416667,6
244,-0.148193359375,6
245,-0.028076171875,6
246,0.95244140625,5
247,-0.36181640625,4
249,0.791259765625,6
250,-0.2802734375,3
251,0.5899658203125,4
252,0.829833984375,4
254,0.7528483072916666,6
255,0.5721028645833334,3
256,-0.19130859375,5
257,0.717041015625,6
258,0.0,3
260,0.028564453125,2
261,0.7849934895833334,6
262,-0.16975911458333334,6
264,0.53154296875,5
265,0.21028645833333334,6
268,0.137939453125,4
270,0.3699951171875,4
271,0.2294921875,4
274,0.175390625,5
275,0.35185546875,5
276,-0.16959635416666666,3
277,0.3665771484375,4
279,0.4501953125,4
281,0.322265625,4
283,0.1431640625,5
285,0.61318359375,5
289,0.229248046875,4
291,0.50439453125,5
292,0.48251953125,5
295,0.0,3
296,0.199462890625,4
297,0.0,4
299,0.301513671875,6
300,0.3043619791666667,3
302,0.1649169921875,4
303,0.4890625,5
305,0.3841552734375,4
306,-0.0162353515625,4
309,0.23388671875,4
310,0.14658203125,5
312,0.3775227864583333,6
313,0.32646484375,5
315,0.93779296875,5
316,0.9514973958333334,3
318,0.51025390625,3
319,-0.025390625,3
320,0.1544189453125,4
322,-0.96630859375,3
326,0.452880859375,2
328,0.2640625,5
330,0.4563802083333333,3
331,0.879150390625,2
332,0.86376953125,2
333,-0.19853515625,5
334,0.7935384114583334,6
336,0.6106770833333334,3
338,-0.93359375,4
339,0.1494140625,4
341,-0.93359375,4
342,0.234765625,5
344,0.9476318359375,4
345,0.239013671875,4
346,0.14168294270833334,6
348,0.1765625,5
349,0.2254638671875,4
353,0.1829833984375,4
356,0.760546875,5
357,-0.4894205729166667,6
358,0.716796875,4
361,0.02294921875,5
362,0.2710658482142857,7
363,0.0,4
366,0.6446533203125,4
367,0.1651611328125,4
369,0.2349853515625,4
370,0.14775390625,5
373,0.4881184895833333,3
539,-0.10393415178571429,7
556,0.24739583333333334,3
565,-0.1986328125,5
573,0.0020345052083333335,6
576,0.208984375,4
578,-0.0062255859375,4
579,-0.15568033854166666,6
580,-0.26416015625,3
582,0.3006184895833333,3
583,0.0,4
588,0.4322916666666667,3
605,-0.2276611328125,4
609,0.0,3
611,0.24039713541666666,3
615,0.48611886160714285,7
620,0.0,3
624,-0.236328125,4
627,0.5914713541666666,3
636,-0.00546875,5
638,0.19563802083333334,3
639,-0.12835693359375,4
640,-0.900390625,3
647,0.20540364583333334,3
658,-0.01025390625,4
659,0.042643229166666664,6
671,0.0,3
685,0.0,4
686,-0.24112955729166666,6
689,0.37861328125,5
704,-0.1337890625,4
708,-0.0056640625,5
709,-0.228515625,3
710,-0.18636067708333334,3
713,0.0,4
719,0.26611328125,3
725,0.1741943359375,4
730,0.184326171875,4
732,0.0,5
740,0.5565592447916666,6
746,0.5810546875,4
747,0.9285888671875,4
748,0.5977783203125,4
754,0.0,5
756,0.39306640625,3
759,0.4527587890625,4
762,0.6890869140625,4
763,0.85732421875,5
764,0.0,4
765,0.950439453125,4
768,0.14248046875,5
769,0.33369140625,5
770,-0.6482747395833334,3
772,0.0,5
773,-0.111083984375,6
774,-0.16959635416666666,6
776,0.848828125,5
778,0.9479166666666666,6
779,0.428125,5
781,0.724609375,5
782,0.5269775390625,4
784,-0.006591796875,6
789,0.0,4
791,-0.009521484375,4
793,0.180908203125,4
797,-0.01123046875,3
798,0.3136393229166667,3
802,-0.001708984375,6
803,-0.283935546875,4
805,0.04052734375,2
806,0.2381591796875,4
807,0.1912109375,5
